Organization,Shop,Production Line,Equipment Line,Work Order,Model.Suffix,Box,Set,Wip,Buyer S/No,Rework,OQC_SMPLG_FLAG,Input Time,Out Time,Box Weight,Box Weight Result,Box Weight Time,MAC Address,Off Line history,ACCBAG_1,BOXCARTON_1,CARD_1,ENERGYLBL_1,ENERGYLBL_2,MANUAL_1,MANUAL_2,MANUAL_3,MANUAL_4,MANUAL_5,MOD_1,PANEL_1,PCBG_MAIN_1,POWERCORD_1,PSU_1,REMOCON_1,STREAMER_1,WARRANTY_1,Uploaded Panel,Repair Flag,이슈 제번,MAC_ADDRESS,LOAD_DATE
AP4,Final Assembly,L01,L01,5F2L0007,75QNED8GA6A.BTRDLJL,33758505225750TRDLJL,505PLSY225750,,505PLSY225750,N,,2025-05-13 12:55:57.488,2025-05-13 13:02:56.162,,,,58:96:0A:5B:DA:39,,5F2L0007.L3145150200125,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R4787MJ3E65947101Q645,,LD55B10240,EAD65969409IUK5593383,SR2CA659207313371,AKB76046609IOS54B0418,MEZ00766501,MBM675057042501REV00,,,,58960A5BDA39,2025-05-14 21:33:36
AP4,Final Assembly,L01,L01,5F2L0970,75QNED8GA6A.BTRDLJL,33758505330942TRDLJL,505PLSY330942,,505PLSY330942,N,,2025-05-31 11:58:30.726,2025-05-31 12:37:29.533,,,,58:96:0A:78:06:1B,,5F2L0970.L3145150200092,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R477VFJ3E65947101Q545,,LD55W1007Z,EAD65969409IUK55S2324,SR32A659207312034,AKB76046609IH352DA232,MEZ00766501,MBM675057042501REV00,,,,58960A78061B,2025-06-17 21:11:25
AP4,Final Assembly,L01,L01,5F2L0007,75QNED8GA6A.BTRDLJL,33758505225632TRDLJL,505PLLQ225632,,505PLLQ225632,N,,2025-05-13 11:11:33.514,2025-05-13 11:18:16.365,,,,58:96:0A:5B:D9:78,,5F2L0007.L3145150200074,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R477SYJ3E65947101Q545,,LD55B101YF,EAD65969409IUK5593371,SR2CA659207311573,AKB76046609IOS54B0742,MEZ00766501,MBM675057042501REV00,,,,58960A5BD978,2025-05-14 00:22:46
AP4,Final Assembly,L01,L01,5F2L0007,75QNED8GA6A.BTRDLJL,33758505225754TRDLJL,505PLDX225754,,505PLDX225754,N,,2025-05-13 12:57:57.787,2025-05-13 13:21:48.777,,,,58:96:0A:5B:DA:24,,5F2L0007.L3145150200077,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R478CXJ3E65947101Q545,,LD55B1023E,EAD65969409IUK5593334,SR2CA659207313310,AKB76046609IOS54B0484,MEZ00766501,MBM675057042501REV00,,,,58960A5BDA24,2025-05-16 19:12:47
AP4,Final Assembly,L01,L01,5EMG0018,75QNED8GA6A.BTRDLJL,33758505190280TRDLJL,505PLLQ190280,,505PLLQ190280,N,,2025-05-06 12:55:57.305,2025-05-06 13:06:39.936,,,,58:96:0A:4D:51:E6,,5EMG0018.L3145150200124,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R3G4L7J3E65947101NL33,TJ512801AS03-,LD54P1002R,EAD65969409IUK5521957,SR2HA659207310814,AKB76046609IOS52S0842,MEZ00766501,MBM675057042501REV00,,,,58960A4D51E6,2025-05-07 15:33:03
AP4,Final Assembly,L01,L01,5E2L1325,75QNED8GA6A.BTRDLJL,33758504300684TRDLJL,504PLJK300684,,504PLJK300684,N,Y,2025-04-28 11:33:09.492,2025-04-28 11:40:32.320,,,,58:96:0A:50:19:39,,5E2L1325.L3145150200063,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R3G4VSJ3E65947101NL33,,LD54S1013D,EAD65969409IUK5371104,SR1QA659207310094,AKB76046609IH351PF963,MEZ00766501,MBM675057042501REV00,,,,58960A501939,2025-05-08 10:28:08
AP4,Final Assembly,L01,L01,5EMG0018,75QNED8GA6A.BTRDLJL,33758505190445TRDLJL,505PLZU190445,,505PLZU190445,N,,2025-05-06 14:46:49.781,2025-05-06 14:54:08.644,,,,58:96:0A:58:BB:04,,5EMG0018.L3145150200159,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R3N649J3E65947101Q545,,LD5551000T,EAD65969409IUK5522048,SR2CA659207311293,AKB76046609IOS52S0709,MEZ00766501,MBM675057042501REV00,,,,58960A58BB04,2025-05-07 13:30:18
AP4,Final Assembly,L01,L01,5F2L0970,75QNED8GA6A.BTRDLJL,33758505330983TRDLJL,505PLVC330983,,505PLVC330983,N,,2025-05-31 12:55:41.100,2025-05-31 13:03:32.540,,,,58:96:0A:78:06:D0,,5F2L0970.L3145150200048,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R4S4ATJ3E65947101QU43,,LD55W100DL,EAD65969409IUK55S3897,SR3CA659207310039,AKB76046609IH3537K274,MEZ00766501,MBM675057042501REV00,,,,58960A7806D0,2025-06-02 15:42:07
AP4,Final Assembly,L01,L01,5EPM0048,75QNED8GA6A.ATRDLJL,33758504185646TRDLJL,504PLUH185646,,504PLUH185646,N,,2025-04-07 16:12:19.216,2025-04-07 16:22:29.161,,,,,,5EPM0048.L3145150100035,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R2Q84PJ3E65947101PC45,,IS51G1006Y,EAD65969409IUK53L5635,TQDK3659207310958,AKB76046609IOS51Q0303,MEZ00766501,MBM675057042501REV00,,,,00A159D7AA90,2025-04-28 09:02:07
AP4,Final Assembly,L01,L01,5F2L0970,75QNED8GA6A.BTRDLJL,33758505331035TRDLJL,505PLCD331035,,505PLCD331035,N,,2025-05-31 13:26:49.157,2025-05-31 13:33:24.511,,,,58:96:0A:78:06:38,,5F2L0970.L3145150200169,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R4S4H4J3E65947101QU45,,LD55W1008J,EAD65969409IUK55S3891,SR3CA659207311664,AKB76046609IH352DA281,MEZ00766501,MBM675057042501REV00,,,,58960A780638,2025-06-02 10:14:35
