PROD_DATE,LG SERIAL NUMBER,PCBA_SN,MAC_ADDRESS
2025-04-11,504IKVK04263,AC548110S8,00A15913C764
2025-04-11,504IKPL04264,AC548110PF,00A1591476D7
2025-04-11,504IKHS04265,AC548110K0,00A1591476A2
2025-04-11,504IKYC04266,AC548110HN,00A15913C731
2025-04-12,504IKCM04267,AC54811017,00A15913C971
2025-04-11,504IKQT04268,AC5481106J,00A15913C893
2025-04-11,504IKZZ04269,AC548110KS,00A15913C749
2025-04-11,504IKSD04270,AC548110CH,00A15914772C
2025-04-11,504IKGN04271,AC5481109X,00A159147731
2025-04-11,504IKLU04272,AC548110Q4,00A15913C756
2025-04-11,504IKTY04273,AC52E1100R,00A159147792
2025-04-11,504IKDE04274,AC5481101L,00A15913C92A
2025-04-11,504IKMQ04275,AC5481105C,00A15913C8C8
2025-04-11,504IKEV04276,AC548110DZ,00A159147714
2025-04-11,504IKKX04277,AC548110NK,00A15913C6D7
2025-04-11,504IKNF04279,AC5481104U,00A15913C891
2025-04-12,504IKAW04280,AC548110EP,00A159147701
2025-04-11,504IKXB04282,AC548110JL,00A15914767C
2025-04-11,504IKFG04283,AC5481109H,00A15913C8AB
2025-04-11,504IKJR04284,AC548110SG,00A15913C760
2025-04-12,504IKBA04285,AC5481103D,00A15913C909
2025-04-11,504IKRJ04286,AC548110CJ,00A15913C7ED
2025-04-11,504IKVK04287,AC548110RT,00A1591476D1
2025-04-11,504IKPL04288,AC548110LH,00A1591476DC
2025-04-11,504IKHS04289,AC548110PL,00A15913C76E
2025-04-11,504IKYC04290,AC548110MG,00A159147649
2025-04-12,504IKCM04291,AC54811016,00A15913C970
2025-04-11,504IKQT04292,AC5481106K,00A15913C892
2025-04-11,504IKZZ04293,AC548110KR,00A1591476AD
2025-04-11,504IKSD04294,AC5481101Q,00A15913C92E
2025-04-11,504IKGN04295,AC5481109W,00A15913C7F2
2025-04-11,504IKLU04296,AC548110K8,00A15913C754
